"Monster","CR","Monster_STR","STR_Mod","Monster_DEX","DEX_Mod","Monster_CON","CON_Mod","Monster_INT","INT_Mod","Monster_WIS","WIS_Mod","Monster_CHA","CHA_Mod","Stats.1","Stats.2","Stats_3","Stats_4","Stats_5","Stats_6","Stats_7"
"Aarakocra",0.25,10,0,14,2,10,0,11,0,12,1,11,0,"Skills Perception +5","Languages Auran, Aarakocra",NA,NA,NA,NA,NA
"Abjurer",9,9,-1,14,2,14,2,18,4,12,1,11,0,"Saving Throws Int +8, Wis +5","Skills Arcana +8, History +8","Languages any four languages",NA,NA,NA,NA
"Aboleth",10,21,5,9,-1,15,2,18,4,15,2,18,4,"Saving Throws Con +6, Int +8, Wis +6","Skills History +12, Perception +10","Senses darkvision 120 ft.","Languages Deep Speech, telepathy 120 ft.",NA,NA,NA
"Abominable Yeti",9,24,7,10,0,22,6,9,-1,13,1,9,-1,"Skills Perception +5, Stealth +4","Damage Immunities cold","Senses darkvision 60 ft.","Languages Yeti",NA,NA,NA
"Acolyte",0.25,10,0,10,0,10,0,10,0,14,2,11,0,"Skills Medicine +4, Religion +2","Languages any one language (usually Common)",NA,NA,NA,NA,NA
"Adult Black Dragon",14,23,6,14,2,21,5,14,2,13,1,17,3,"Saving Throws Dex +7, Con +10, Wis +6, Cha +8","Skills Perception +11, Stealth +7","Damage Immunities acid","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Blue Dracolich",17,25,7,10,0,23,6,16,3,15,2,19,4,"Saving Throws Dex +5, Con +11, Wis +7, Cha +9","Skills Perception +12, Stealth +5","Damage Resistances necrotic","Damage Immunities lightning, poison","Condition Immunities charmed, exhaustion, frightened, paralyzed, poisoned","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic"
"Adult Blue Dragon",16,25,7,10,0,23,6,16,3,15,2,19,4,"Saving Throws Dex +5, Con +11, Wis +7, Cha +9","Skills Perception +12, Stealth +5","Damage Immunities lightning","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Brass Dragon",13,23,6,10,0,21,5,14,2,13,1,17,3,"Saving Throws Dex +5, Con +10, Wis +6, Cha +8","Skills History +7, Perception +11, Persuasion +8, Stealth +5","Damage Immunities fire","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Bronze Dragon",15,25,7,10,0,23,6,16,3,15,2,19,4,"Saving Throws Dex +5, Con +11, Wis +7, Cha +9","Skills Insight +7, Perception +12, Stealth +5","Damage Immunities lightning","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Copper Dragon",14,23,6,12,1,21,5,18,4,15,2,17,3,"Saving Throws Dex +6, Con +10, Wis +7, Cha +8","Skills Deception +8, Perception +12, Stealth +6","Damage Immunities acid","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Gold Dragon",17,27,8,14,2,25,7,16,3,15,2,24,7,"Saving Throws Dex +8, Con +13, Wis +8, Cha +13","Skills Insight +8, Perception +14, Persuasion +13, Stealth +8","Damage Immunities fire","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Green Dragon",15,23,6,12,1,21,5,18,4,15,2,17,3,"Saving Throws Dex +6, Con +10, Wis +7, Cha +8","Skills Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6","Damage Immunities poison","Condition Immunities poisoned","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA
"Adult Red Dragon",17,27,8,10,0,25,7,16,3,13,1,21,5,"Saving Throws Dex +6, Con +13, Wis +7, Cha +11","Skills Perception +13, Stealth +6","Damage Immunities fire","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult Silver Dragon",16,27,8,10,0,25,7,16,3,13,1,21,5,"Saving Throws Dex +5, Con +12, Wis +6, Cha +10","Skills Arcana +8, History +8, Perception +11, Stealth +5","Damage Immunities cold","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Adult White Dragon",13,22,6,10,0,22,6,8,-1,12,1,12,1,"Saving Throws Dex +5, Con +11, Wis +6, Cha +6","Skills Perception +11, Stealth +5","Damage Immunities cold","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Aerisi Kalinoth",7,8,-1,16,3,12,1,17,3,10,0,16,3,"Skills Arcana +6, History +6, Perception +3","Damage Resistances lightning","Senses darkvision 60 ft.","Languages Auran, Common, Elvish",NA,NA,NA
"Air Elemental",5,14,2,20,5,14,2,6,-2,10,0,6,-2,"Damage Resistances lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Senses darkvision 60 ft.","Languages Auran",NA,NA
"Air Elemental Myrmidon",7,18,4,14,2,14,2,9,-1,10,0,10,0,"Damage Resistances lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities paralyzed, petrified, poisoned, prone","Senses darkvision 60 ft.","Languages Auran, one language of its creator's choice",NA,NA
"Alhoon",10,11,0,12,1,16,3,19,4,17,3,17,3,"Saving Throws Con +7, Int +8, Wis +7, Cha +7","Skills Arcana +8, Deception +7, History +8, Insight +7, Perception +7, Stealth +5","Damage Resistances cold, lightning, necrotic","Damage Immunities poison; bludgeoning, piercing, and slashing from nonmagical attacks","Condition Immunities charmed, exhaustion, frightened, paralyzed, poisoned","Senses truesight 120 ft.","Languages Deep Speech, Undercommon, telepathy 120 ft."
"Allosaurus",2,19,4,13,1,17,3,2,-4,12,1,5,-3,"Skills Perception +5",NA,NA,NA,NA,NA,NA
"Ambush Drake",0.5,13,1,15,2,14,2,4,-3,11,0,6,-2,"Skills Perception +4, Stealth +4","Damage Resistances poison","Senses darkvision 60 ft.","Languages understands Draconic but can't speak it",NA,NA,NA
"Ancient Black Dragon",21,27,8,14,2,25,7,16,3,15,2,19,4,"Saving Throws Dex +9, Con +14, Wis +9, Cha +11","Skills Perception +16, Stealth +9","Damage Immunities acid","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Blue Dragon",23,29,9,10,0,27,8,18,4,17,3,21,5,"Saving Throws Dex +7, Con +15, Wis +10, Cha +12","Skills Perception +17, Stealth +7","Damage Immunities lightning","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Brass Dragon",20,27,8,10,0,25,7,16,3,15,2,19,4,"Saving Throws Dex +6, Con +13, Wis +8, Cha +10","Skills History +9, Perception +14, Persuasion +10, Stealth +6","Damage Immunities fire","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Bronze Dragon",22,29,9,10,0,27,8,18,4,17,3,21,5,"Saving Throws Dex +7, Con +15, Wis +10, Cha +12","Skills Insight +10, Perception +17, Stealth +7","Damage Immunities lightning","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Copper Dragon",21,27,8,12,1,25,7,20,5,17,3,19,4,"Saving Throws Dex +8, Con +14, Wis +10, Cha +11","Skills Deception +11, Perception +17, Stealth +8","Damage Immunities acid","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Gold Dragon",24,30,10,14,2,29,9,18,4,17,3,28,9,"Saving Throws Dex +9, Con +16, Wis +10, Cha +16","Skills Insight +10, Perception +17, Persuasion +16, Stealth +9","Damage Immunities fire","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Green Dragon",22,27,8,12,1,25,7,20,5,17,3,19,4,"Saving Throws Dex +8, Con +14, Wis +10, Cha +11","Skills Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8","Damage Immunities poison","Condition Immunities poisoned","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA
"Ancient Red Dragon",24,30,10,10,0,29,9,18,4,15,2,23,6,"Saving Throws Dex +7, Con +16, Wis +9, Cha +13","Skills Perception +16, Stealth +7","Damage Immunities fire","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient Silver Dragon",23,30,10,10,0,29,9,18,4,15,2,23,6,"Saving Throws Dex +7, Con +16, Wis +9, Cha +13","Skills Arcana +11, History +11, Perception +16, Stealth +7","Damage Immunities cold","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Ancient White Dragon",20,26,8,10,0,26,8,10,0,13,1,14,2,"Saving Throws Dex +6, Con +14, Wis +7, Cha +8","Skills Perception +13, Stealth +6","Damage Immunities cold","Senses blindsight 60 ft., darkvision 120 ft.","Languages Common, Draconic",NA,NA
"Androsphinx",17,22,6,10,0,20,5,16,3,18,4,23,6,"Saving Throws Dex +6, Con +11, Int +9, Wis +10","Skills Arcana +9, Perception +10, Religion +15","Damage Immunities psychic, bludgeoning, piercing, and slashing from nonmagical weapons","Condition Immunities charmed, frightened","Senses truesight 120 ft.","Languages Common, Sphinx",NA
"Animated Armor",1,14,2,11,0,13,1,1,-5,3,-4,1,-5,"Damage Immunities poison, psychic","Condition Immunities blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,NA,NA
"Animated Table",2,18,4,8,-1,13,1,1,-5,3,-4,1,-5,"Damage Immunities poison, psychic","Condition Immunities blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,NA,NA
"Ankheg",2,17,3,11,0,13,1,1,-5,13,1,6,-2,"Senses darkvision 60 ft., tremorsense 60 ft.",NA,NA,NA,NA,NA,NA
"Ankylosaurus",3,19,4,11,0,15,2,2,-4,12,1,5,-3,NA,NA,NA,NA,NA,NA,NA
"Annis Hag",6,21,5,12,1,14,2,13,1,14,2,15,2,"Saving Throws Con +5","Skills Deception +5, Perception +5","Damage Resistances cold; bludgeoning, piercing, and slashing from nonmagical attacks","Senses darkvision 60 ft.","Languages Common, Giant, Sylvan",NA,"A coven consists of three hags so that any arguments between two hags can be settled by the third. If more than three hags ever come together, as might happen if two covens come into conflict, the result is usually chaos."
"Ape",0.5,16,3,14,2,14,2,6,-2,12,1,7,-2,"Skills Athletics +5, Perception +3",NA,NA,NA,NA,NA,NA
"Apprentice Wizard",0.25,10,0,10,0,10,0,14,2,10,0,11,0,"Skills Arcana +4, History +4","Languages any one language (usually Common)",NA,NA,NA,NA,NA
"Arcanaloth",12,17,3,12,1,14,2,20,5,16,3,17,3,"Saving Throws Dex +5, Int +9, Wis +7, Cha +7","Skills Arcana +13, Deception +9, Insight +9, Perception +7","Damage Resistances cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities acid, poison","Condition Immunities charmed, poisoned","Senses truesight 120 ft.","Languages all, telepathy 120 ft."
